TOOL NAME,W/O,SIZE & THREAD,MATERIAL,MODEL,MATERIAL NO,PART NUMBER,QUANTITY,LOCATION
HALF MULE SHOE,WO6226-2,"3-1/2"" JFEBEAR BOX",CHROME,,N/A,101614146REVAA,1,RACK 1B
HALF MULE SHOE,N/A,"2-7/8"" HCS BOX",CHROME,,SEG-HMS-03,N/A,1,RACK 1B
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",CHROME,,H066507713-SN23,101380204-PM,1,RACK 1B
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",CHROME,,H065500207-SN019,N/A,1,RACK 1B
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",CHROME,,H065507713-SN05,102262450-E6,1,RACK 1B
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",CHROME,,H065507713-SN04,102410583-JS,1,RACK 1B
SEAL UNIT,WO6108300,"3-1/2"" STUB ACME BOX X PIN",CHROME,,H065500207-SN018,N/A,1,RACK 1B
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",CHROME,,H065507713-SN20,102410583-JS,1,RACK 1B
SEAL UNIT,WO6108300,"3-1/2"" STUB ACME BOX X PIN",CHROME,,H065500207-SN017,N/A,1,RACK 1B
SEAL UNIT,N/A,"2-7/8"" VAMTOP BOX X PIN",CHROME,,4444537439,61048,1,RACK 1B
SEAL UNIT,N/A,"2-7/8"" STUB ACME BOX X PIN",CHROME,,065503501,61084,6,RACK 1B
SEAL UNIT,N/A,"2-7/8"" STUB ACME BOX X PIN",CHROME,,065503501,59065,3,RACK 1B
SPACER 1,N/A,"3-1/16-12"" STUB ACME BOX X PIN",CHROME,,2289485-1,M-101281446,1,RACK 1B
SPACER 2,N/A,"3-1/16-12"" STUB ACME BOX X PIN",CHROME,,2191381-2,101281446,1,RACK 1B
